C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/27/2020,23:00:00,REGULAR,0006484142,0008665023                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/28/2020,03:00:00,REGULAR,0006484197,0008665041                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/28/2020,07:00:00,REGULAR,0006484209,0008665169                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/28/2020,15:00:00,REGULAR,0006484543,0008666097                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/28/2020,19:00:00,REGULAR,0006485072,0008666433                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/28/2020,23:00:00,REGULAR,0006485321,0008666590                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/29/2020,03:00:00,REGULAR,0006485367,0008666604                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/29/2020,07:00:00,REGULAR,0006485381,0008666730                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/29/2020,11:00:00,REGULAR,0006485500,0008667402                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/29/2020,15:00:00,REGULAR,0006485690,0008667667                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/29/2020,19:00:00,REGULAR,0006486144,0008667949                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/29/2020,23:00:00,REGULAR,0006486399,0008668086                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/30/2020,03:00:00,REGULAR,0006486446,0008668098                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/30/2020,07:00:00,REGULAR,0006486463,0008668221                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/30/2020,11:00:00,REGULAR,0006486613,0008668862                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/30/2020,15:00:00,REGULAR,0006486768,0008669108                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/30/2020,19:00:00,REGULAR,0006487318,0008669386                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/30/2020,23:00:00,REGULAR,0006487554,0008669642                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/31/2020,03:00:00,REGULAR,0006487598,0008669659                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/31/2020,07:00:00,REGULAR,0006487605,0008669785                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/31/2020,11:00:00,REGULAR,0006487742,0008670461                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/31/2020,15:00:00,REGULAR,0006487941,0008670709                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/31/2020,19:00:00,REGULAR,0006488455,0008671013                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/31/2020,23:00:00,REGULAR,0006488672,0008671143                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0006001297,0006820215                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0006001303,0006820236                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0006001362,0006820345                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0006001471,0006820447                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0006001626,0006820553                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0006001730,0006820600                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0006001768,0006820609                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0006001771,0006820628                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0006001816,0006820732                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0006001939,0006820836                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0006002122,0006820963                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0006002238,0006821017                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0006002266,0006821024                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0006002285,0006821122                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0006002455,0006821677                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0006002593,0006821802                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0006003073,0006821953                                            
